0 1 2
CHEMBL3968843 DB00317 0.796875
CHEMBL3759754 DB00317 0.7361111111111112
CHEMBL434311 DB00317 0.7391304347826086
CHEMBL25610 DB00317 0.7101449275362319
CHEMBL3920551 DB00317 0.7012987012987013
CHEMBL939 DB00317 1.0
CHEMBL169797 DB00317 0.7205882352941176
CHEMBL3957025 DB00317 0.7671232876712328
CHEMBL24137 DB00317 0.7761194029850746
CHEMBL3929448 DB00317 0.7105263157894737
CHEMBL941 DB00619 1.0
CHEMBL1421 DB01254 0.7066666666666667
CHEMBL306380 DB01809 1.0
CHEMBL50 DB01852 0.7837837837837838
CHEMBL281948 DB02152 0.7183098591549296
CHEMBL94678 DB02152 0.7183098591549296
CHEMBL416056 DB02152 0.7183098591549296
CHEMBL50 DB02375 0.7567567567567568
CHEMBL233209 DB02491 1.0
CHEMBL233208 DB02491 0.8421052631578947
CHEMBL231800 DB02491 0.7777777777777778
CHEMBL392306 DB02491 0.8275862068965517
CHEMBL169473 DB02984 0.7333333333333333
CHEMBL94191 DB02984 0.7209302325581395
CHEMBL29197 DB02984 0.717391304347826
CHEMBL3220401 DB02984 0.7333333333333333
CHEMBL103667 DB03044 1.0
CHEMBL169473 DB03365 0.75
CHEMBL94191 DB03365 0.7380952380952381
CHEMBL405130 DB03365 0.7441860465116279
CHEMBL3219509 DB03365 0.723404255319149
CHEMBL29197 DB03365 0.7333333333333333
CHEMBL3220401 DB03365 0.75
CHEMBL3774563 DB03365 0.7111111111111111
CHEMBL215971 DB03490 0.8
CHEMBL50 DB04216 1.0
CHEMBL941 DB04739 0.8115942028985508
CHEMBL491473 DB04849 1.0
CHEMBL74587 DB04878 0.8
CHEMBL431006 DB04878 0.7333333333333333
CHEMBL309331 DB04878 0.7674418604651163
CHEMBL306284 DB04878 0.7391304347826086
CHEMBL306512 DB04878 0.723404255319149
CHEMBL74550 DB04878 0.7906976744186046
CHEMBL75077 DB04878 0.7391304347826086
CHEMBL312526 DB04878 0.7083333333333334
CHEMBL75196 DB04878 0.7906976744186046
CHEMBL74143 DB04878 0.7391304347826086
CHEMBL75232 DB04878 0.8260869565217391
CHEMBL3781003 DB04878 0.7021276595744681
CHEMBL419458 DB04878 0.7021276595744681
CHEMBL433321 DB04878 0.7906976744186046
CHEMBL74034 DB04878 0.7045454545454546
CHEMBL25425 DB05289 0.7164179104477612
CHEMBL1907944 DB05289 0.8412698412698413
CHEMBL2058042 DB05289 0.7647058823529411
CHEMBL1277620 DB05289 0.7017543859649122
CHEMBL1202473 DB05289 0.7205882352941176
CHEMBL1202477 DB05289 0.7164179104477612
CHEMBL2448066 DB05289 0.7101449275362319
CHEMBL2448065 DB05289 0.8253968253968254
CHEMBL281990 DB05289 0.8387096774193549
CHEMBL1907764 DB05289 0.8412698412698413
CHEMBL1907763 DB05289 0.7058823529411765
CHEMBL533849 DB05289 0.9827586206896551
CHEMBL24979 DB05289 0.8548387096774194
CHEMBL416191 DB05289 0.8064516129032258
CHEMBL124660 DB05462 1.0
CHEMBL1794074 DB06581 0.7692307692307693
CHEMBL3114023 DB06581 0.7049180327868853
CHEMBL477772 DB06581 1.0
CHEMBL509101 DB06894 0.7536231884057971
CHEMBL1229517 DB06998 0.8333333333333334
CHEMBL1229517 DB06999 0.7058823529411765
CHEMBL240432 DB07145 0.7272727272727273
CHEMBL240430 DB07145 0.7741935483870968
CHEMBL240431 DB07145 0.8
CHEMBL239590 DB07145 0.7272727272727273
CHEMBL247272 DB07145 0.7272727272727273
CHEMBL393596 DB07145 0.7868852459016393
CHEMBL392990 DB07145 1.0
CHEMBL385178 DB07182 1.0
CHEMBL1945559 DB07241 0.8301886792452831
CHEMBL352877 DB07248 0.8805970149253731
CHEMBL170984 DB07248 0.7027027027027027
CHEMBL369360 DB07248 0.8805970149253731
CHEMBL169186 DB07248 1.0
CHEMBL173799 DB07248 0.726027397260274
CHEMBL167890 DB07248 0.726027397260274
CHEMBL223147 DB07265 0.7719298245614035
CHEMBL101683 DB07287 1.0
CHEMBL247272 DB07296 1.0
CHEMBL392990 DB07296 0.7272727272727273
CHEMBL247468 DB07296 0.7966101694915254
CHEMBL193386 DB07332 0.78125
CHEMBL3109276 DB07332 0.7121212121212122
CHEMBL361642 DB07333 0.71875
CHEMBL194176 DB07333 1.0
CHEMBL193386 DB07333 0.7580645161290323
CHEMBL179311 DB07333 0.7666666666666667
CHEMBL369751 DB07333 0.7894736842105263
CHEMBL4086603 DB07333 0.7391304347826086
CHEMBL191705 DB07333 0.7868852459016393
CHEMBL193609 DB07333 0.7076923076923077
CHEMBL178507 DB07333 0.7540983606557377
CHEMBL191993 DB07333 0.734375
CHEMBL179465 DB07333 0.7540983606557377
CHEMBL195237 DB07333 0.7704918032786885
CHEMBL372474 DB07333 0.734375
CHEMBL364082 DB07333 0.8103448275862069
CHEMBL194939 DB07333 0.7076923076923077
CHEMBL3109276 DB07333 0.7142857142857143
CHEMBL3109277 DB07333 0.8225806451612904
CHEMBL3109274 DB07333 0.8947368421052632
CHEMBL3109275 DB07333 0.8125
CHEMBL193955 DB07333 0.7540983606557377
